'"10000000 Volt Thunderbolt"','Electric','Special','Pikachu-exclusive Z-Move.',195,NULL,1,NULL,NULL,7
'Absorb','Grass','Special','User recovers half the HP inflicted on opponent.',20,100,25,NULL,NULL,1
'Accelerock','Rock','Physical','User attacks first.',40,100,20,NULL,NULL,7
'Acid','Poison','Special','May lower opponent's Special Defense.',40,100,30,NULL,10,1
'Acid Armor','Poison','Status','Sharply raises user's Defense.',NULL,NULL,20,NULL,NULL,1
'Acid Downpour','Poison','Z-Move','Poison type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Acid Spray','Poison','Special','Sharply lowers opponent's Special Defense.',40,100,20,NULL,100,5
'Acrobatics','Flying','Physical','Stronger when the user does not have a held item.',55,100,15,TM62,NULL,5
'Acupressure','Normal','Status','Sharply raises a random stat.',NULL,NULL,30,NULL,NULL,4
'Aerial Ace','Flying','Physical','Ignores Accuracy and Evasiveness.',60,∞,20,TM40,NULL,3
'Aeroblast','Flying','Special','High critical hit ratio.',100,95,5,NULL,NULL,2
'After You','Normal','Status','Gives target priority in the next turn.',NULL,NULL,15,NULL,NULL,5
'Agility','Psychic','Status','Sharply raises user's Speed.',NULL,NULL,30,NULL,NULL,1
'Air Cutter','Flying','Special','High critical hit ratio.',60,95,25,NULL,NULL,3
'Air Slash','Flying','Special','May cause flinching.',75,95,20,NULL,30,4
'All-Out Pummeling','Fighting','Z-Move','Fighting type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Ally Switch','Psychic','Status','User switches with opposite teammate.',NULL,NULL,15,NULL,NULL,5
'Amnesia','Psychic','Status','Sharply raises user's Special Defense.',NULL,NULL,20,NULL,NULL,1
'Anchor Shot','Steel','Physical','The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.',80,100,20,NULL,NULL,7
'Ancient Power','Rock','Special','May raise all user's stats at once.',60,100,5,NULL,10,2
'Aqua Jet','Water','Physical','User attacks first.',40,100,20,NULL,NULL,4
'Aqua Ring','Water','Status','Restores a little HP each turn.',NULL,NULL,20,NULL,NULL,4
'Aqua Tail','Water','Physical','',90,90,10,NULL,NULL,4
'Arm Thrust','Fighting','Physical','Hits 2-5 times in one turn.',15,100,20,NULL,NULL,3
'Aromatherapy','Grass','Status','Cures all status problems in your party.',NULL,NULL,5,NULL,NULL,3
'Aromatic Mist','Fairy','Status','Raises Special Defense of allies.',NULL,NULL,20,NULL,NULL,6
'Assist','Normal','Status','User performs a move known by its allies at random.',NULL,NULL,20,NULL,NULL,3
'Assurance','Dark','Physical','Power doubles if opponent already took damage in the same turn.',60,100,10,NULL,NULL,4
'Astonish','Ghost','Physical','May cause flinching.',30,100,15,NULL,30,3
'Attack Order','Bug','Physical','High critical hit ratio.',90,100,15,NULL,NULL,4
'Attract','Normal','Status','"If opponent is the opposite gender', it's less likely to attack.",NULL,100,15,TM45,NULL,2
'Aura Sphere','Fighting','Special','Ignores Accuracy and Evasiveness.',80,∞,20,NULL,NULL,4
'Aurora Beam','Ice','Special','May lower opponent's Attack.',65,100,20,NULL,10,1
'Aurora Veil','Ice','Status','Halves damage from Physical and Special attacks for five turns.',NULL,NULL,20,TM70,NULL,7
'Autotomize','Steel','Status','Reduces weight and sharply raises Speed.',NULL,NULL,15,NULL,NULL,5
'Avalanche','Ice','Physical','Power doubles if user took damage first.',60,100,10,NULL,NULL,4
'Baby-Doll Eyes','Fairy','Status','Always goes first. Lowers the target's attack.',NULL,100,30,NULL,NULL,6
